E D F G 1 2 3 4 5 6 7 8 9 A B C
C 9 A B F D E G 1 2 3 4 5 6 7 8
8 5 6 7 A 9 C B E D G F 1 2 3 4
4 1 2 3 8 5 6 7 C 9 A B G D E F
F G D E 4 1 2 3 6 5 8 7 C 9 A B
B C 9 A D G F E 4 1 2 3 8 5 6 7
7 8 5 6 B C 9 A F E D G 4 1 2 3
3 4 1 2 5 8 7 6 B C 9 A F G D E
G F E D 3 4 1 2 7 8 5 6 B C 9 A
A B C 9 E F G D 3 4 1 2 7 8 5 6
6 7 8 5 C B A 9 G F E D 3 4 1 2
2 3 4 1 6 7 8 5 A B C 9 E F G D
D 2 B F G 3 4 1 8 7 6 5 A E C 9
9 A G C 7 E D F 2 3 4 1 6 B 8 5
5 6 7 8 9 A B C D G F E 2 3 4 1
1 E 3 4 2 6 5 8 9 A B C D 7 F G
